DTree,0.770056854074542,gini,random,80,643562777
DTree,0.7542640555906507,gini,random,80,1334663362
DTree,0.770056854074542,gini,random,80,931262947
DTree,0.7580543272267846,gini,random,80,561488895
DTree,0.7530006317119393,gini,random,80,704973218
DTree,0.7523689197725837,gini,random,80,1311054497
DTree,0.7517372078332281,gini,random,80,1843739378
DTree,0.7561591914087177,gini,random,80,1226932238
DTree,0.7725837018319647,gini,random,80,1210369408
DTree,0.7631080227416298,gini,random,80,298655796
DTree,0.7523689197725837,gini,random,80,821042059
DTree,0.7656348704990524,gini,random,80,344665204
DTree,0.7517372078332281,gini,random,80,1800232200
DTree,0.7744788376500316,gini,random,80,802699433
DTree,0.7599494630448516,gini,random,80,1147180617
DTree,0.7492103600758054,gini,random,80,660594478
DTree,0.7618445988629186,gini,random,80,1022814746
DTree,0.7631080227416298,gini,random,80,818148739
DTree,0.7618445988629186,gini,random,90,1564686184
DTree,0.7485786481364498,gini,random,90,1565313590
DTree,0.7454200884396716,gini,random,90,1129454686
DTree,0.7435249526216046,gini,random,90,130598811
DTree,0.7530006317119393,gini,random,90,117639141
DTree,0.7637397346809854,gini,random,90,573064126
DTree,0.7530006317119393,gini,random,90,2028925721
DTree,0.7605811749842072,gini,random,90,1509285601
DTree,0.7605811749842072,gini,random,90,1855227479
DTree,0.7530006317119393,gini,random,90,115185337
DTree,0.7435249526216046,gini,random,90,1189749075
DTree,0.7567909033480733,gini,random,90,1516943322
DTree,0.7580543272267846,gini,random,90,26224863
DTree,0.7536323436512951,gini,random,90,347666994
DTree,0.7479469361970941,gini,random,90,289563992
DTree,0.7530006317119393,gini,random,90,121915515
DTree,0.7441566645609602,gini,random,90,411889976
DTree,0.7637397346809854,gini,random,90,1877985450
DTree,0.7567909033480733,gini,random,90,921210730
DTree,0.7656348704990524,gini,random,90,1281942826
DTree,0.7574226152874289,gini,random,100,1825047959
DTree,0.7498420720151611,gini,random,100,119677359
DTree,0.7675300063171194,gini,random,100,1706383936
DTree,0.7574226152874289,gini,random,100,1027858843
DTree,0.7504737839545167,gini,random,100,319355817
DTree,0.7650031585596968,gini,random,100,1335261896
DTree,0.7403663929248263,gini,random,100,822935990
DTree,0.7637397346809854,gini,random,100,1364216523
DTree,0.7454200884396716,gini,random,100,1010422379
DTree,0.7650031585596968,gini,random,100,658589802
DTree,0.7618445988629186,gini,random,100,486828154
DTree,0.7605811749842072,gini,random,100,1009693925
DTree,0.7586860391661402,gini,random,100,1482753809
DTree,0.7643714466203412,gini,random,100,884640678
DTree,0.7656348704990524,gini,random,100,777310655
DTree,0.7485786481364498,gini,random,100,475315943
DTree,0.7751105495893872,gini,random,100,649187700
DTree,0.7631080227416298,gini,random,100,715635779
DTree,0.7511054958938724,gini,random,100,68755965
DTree,0.7675300063171194,gini,random,100,140056760
DTree,0.7511054958938724,gini,random,,877661683
DTree,0.7631080227416298,gini,random,,1634668417
DTree,0.7492103600758054,gini,random,,1216154488
DTree,0.7725837018319647,gini,random,,1726640005
DTree,0.7694251421351863,gini,random,,1829489111
DTree,0.7574226152874289,gini,random,,25447087
DTree,0.7713202779532533,gini,random,,1290173923
DTree,0.7580543272267846,gini,random,,1074619437
DTree,0.7574226152874289,gini,random,,1504379261
DTree,0.7530006317119393,gini,random,,1800922685
DTree,0.7593177511054959,gini,random,,954535989
DTree,0.7530006317119393,gini,random,,95186391
DTree,0.7675300063171194,gini,random,,916400568
DTree,0.7555274794693619,gini,random,,1994291742
DTree,0.7561591914087177,gini,random,,881038040
DTree,0.7479469361970941,gini,random,,155514425
DTree,0.7624763108022742,gini,random,,716714888
DTree,0.7650031585596968,gini,random,,951513384
DTree,0.7662665824384081,gini,random,,1229881053
DTree,0.7479469361970941,gini,random,,1469244145
DTree,0.8168035375868604,entropy,best,10,2081988949
DTree,0.8142766898294378,entropy,best,10,2044769394
DTree,0.8117498420720152,entropy,best,10,1376977767
DTree,0.8136449778900822,entropy,best,10,337648413
DTree,0.8168035375868604,entropy,best,10,187592470
DTree,0.8130132659507264,entropy,best,10,2002710433
DTree,0.815540113708149,entropy,best,10,171049865
DTree,0.8142766898294378,entropy,best,10,705298241
DTree,0.815540113708149,entropy,best,10,1610940755
DTree,0.817435249526216,entropy,best,10,1744363120
DTree,0.815540113708149,entropy,best,10,341390612
DTree,0.8123815540113708,entropy,best,10,501571609
DTree,0.8149084017687934,entropy,best,10,2064172748
DTree,0.8111181301326595,entropy,best,10,1643005690
DTree,0.8142766898294378,entropy,best,10,2094741376
DTree,0.8142766898294378,entropy,best,10,2002520624
DTree,0.8111181301326595,entropy,best,10,1937095418
DTree,0.8142766898294378,entropy,best,10,1087662783
DTree,0.815540113708149,entropy,best,10,650679558
DTree,0.8130132659507264,entropy,best,10,53936579
